[01:32:33] [main/INFO]: Loading Minecraft 1.19.3 with Fabric Loader 0.14.14
[01:32:33] [main/INFO]: Loading 3 mods:
	- fabricloader 0.14.14
	- java 17
	- minecraft 1.19.3
[01:32:33] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=file:/workspaces/mcserver/libraries/net/fabricmc/sponge-mixin/0.11.4+mixin.0.8.5/sponge-mixin-0.11.4+mixin.0.8.5.jar Service=Knot/Fabric Env=SERVER
[01:32:40] [main/INFO]: Building unoptimized datafixer
[01:32:43] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[01:32:47] [main/INFO]: Loaded 7 recipes
[01:32:47] [main/INFO]: Loaded 1179 advancements
[01:32:49] [Server thread/INFO]: Starting minecraft server version 1.19.3
[01:32:49] [Server thread/INFO]: Loading properties
[01:32:49] [Server thread/INFO]: Default game type: SURVIVAL
[01:32:49] [Server thread/INFO]: Generating keypair
[01:32:49] [Server thread/INFO]: Starting Minecraft server on *:25565
[01:32:49] [Server thread/INFO]: Using epoll channel type
[01:32:49] [Server thread/INFO]: Preparing level "world"
[01:33:04] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[01:33:07] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:07] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:07] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:07] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:07] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:07] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:08] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:08] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:08] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:09] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:10] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:10] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:10] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:11] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:13] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:13] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:15] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:15] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:16] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:17] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:17] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:17] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:18] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:18] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:19] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:20] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:20] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:20] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:21] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:21] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:22] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:22] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:23] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:23] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:24] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:24] [Worker-Main-1/INFO]: Preparing spawn area: 0%
